"","data_product","data_table","data_column","variable","data_type","questions"
"364","ISCNTemplate","fraction","rc_lab_number","radiocarbon_lab_number","value_number","NA"
"365","ISCNTemplate","fraction","rc_year","radiocarbon_lab_year","value_number","NA"
"366","ISCNTemplate","fraction","14c","14c","value_number","NA"
"367","ISCNTemplate","fraction","14c_sigma","14c","sigma","NA"
"368","ISCNTemplate","fraction","14c_age","age","value_number","NA"
"369","ISCNTemplate","fraction","14c_age_sigma","age","sigma","NA"
"370","ISCNTemplate","fraction","fraction_modern","fraction_modern","value_string","NA"
"371","ISCNTemplate","fraction","fraction_modern_sigma","fraction_modern","sigma","NA"
"372","ISCNTemplate","gas","site_name","site_name","id","NA"
"373","ISCNTemplate","gas","cluster_name","cluster_name","id","NA"
"374","ISCNTemplate","gas","profile_name","profile_name","id","NA"
"375","ISCNTemplate","gas","layer_name","layer_name","id","NA"
"376","ISCNTemplate","gas","gas_name","gas_name","id","NA"
"377","ISCNTemplate","gas","rc_lab","radiocarbon_lab","value_string","NA"
"378","ISCNTemplate","gas","rc_lab_number","radiocarbon_lab_number","note","NA"
"379","ISCNTemplate","gas","rc_year","radiocarbon_lab_year","value_date","NA"
"380","ISCNTemplate","gas","labeled_addition","labeled_addition","value_string","NA"
"381","ISCNTemplate","gas","gas_number","gas_number","value_string","NA"
"382","ISCNTemplate","gas","gas_type","gas_type","value_string","NA"
"383","ISCNTemplate","gas","gas_note","gas_note","note","NA"
"384","ISCNTemplate","gas","gas_time_series","gas_time_series","value_string","NA"
"385","ISCNTemplate","gas","c_method","CH4_concentration","method","NA"
"386","ISCNTemplate","gas","c_method","CO2_concentration","method","NA"
"387","ISCNTemplate","gas","collection_method","collection_method","method","NA"
"388","ISCNTemplate","gas","collection_loc","field_or_incubation","method","NA"
"389","ISCNTemplate","gas","15n","15n","value_number","NA"
"390","ISCNTemplate","gas","c_conc_CO2","CO2_concentration","value_number","NA"
"391","ISCNTemplate","gas","13c_CO2","13c_CO2","value_number","NA"
"392","ISCNTemplate","gas","14c_CO2","14c_CO2","value_number","NA"
"393","ISCNTemplate","gas","14c_CO2_sigma","14c_CO2","sigma","NA"
"394","ISCNTemplate","gas","14c_age_CO2","14c_age_CO2","value_number","NA"
"395","ISCNTemplate","gas","14c_age_CO2_sigma","14c_age_CO2","sigma","NA"
